Date, Total 
4/18/2023," $4,125.60 "
4/18/2023," $3,218.40 "
4/18/2023," $1,400.00 "
4/18/2023," $1,770.00 "
4/18/2023," $18,384.00 "
4/18/2023, $300.01 
4/20/2023, $875.00 
4/21/2023," $5,978.00 "
4/24/2023," $5,070.00 "
4/24/2023," $1,824.00 "
4/24/2023," $2,736.00 "
4/24/2023, $273.00 
4/24/2023," $12,528.00 "
4/24/2023, $273.00 
4/24/2023, $-   
4/24/2023," $4,900.00 "
4/25/2023," $4,980.00 "
4/25/2023," $12,528.00 "
4/25/2023, $-   
4/26/2023," $20,400.00 "
4/26/2023," $47,851.20 "
4/26/2023," $30,912.00 "
4/26/2023, $455.00 
4/26/2023," $3,600.00 "
4/27/2023," $1,518.00 "
4/28/2023," $3,546.00 "
5/1/2023," $6,027.00 "
5/1/2023," $3,738.00 "
5/1/2023," $1,584.00 "
5/1/2023," $4,058.72 "
5/1/2023, $912.00 
5/1/2023," $10,170.00 "
5/2/2023, $-   
5/3/2023," $2,430.00 "
5/3/2023, $-   
5/8/2023," $9,021.24 "
5/8/2023," $6,774.00 "
5/8/2023," $2,736.00 "
5/8/2023," $2,736.00 "
5/8/2023," $2,520.00 "
5/8/2023," $6,922.80 "
5/9/2023," $2,990.00 "
5/9/2023, $900.00 
5/9/2023," $5,652.00 "
5/9/2023," $7,140.00 "
5/9/2023, $-   
5/9/2023," $3,756.00 "
5/9/2023," $4,812.00 "
5/9/2023," $4,150.00 "
5/9/2023," $10,863.00 "
5/9/2023," $4,380.00 "
5/10/2023," $3,962.90 "
5/10/2023," $3,036.00 "
5/10/2023," $27,330.00 "
5/11/2023," $8,152.00 "
5/11/2023," $4,517.00 "
5/11/2023," $6,948.00 "
5/11/2023," $3,936.00 "
5/12/2023, $700.00 
5/12/2023, $875.00 
5/15/2023," $4,992.00 "
5/15/2023," $3,348.00 "
5/15/2023," $18,528.00 "
5/15/2023," $2,430.00 "
5/15/2023," $1,400.00 "
5/15/2023," $18,273.60 "
5/15/2023, $500.01 
5/15/2023," $7,803.00 "
5/15/2023," $20,532.60 "
5/15/2023, $300.01 
5/15/2023," $22,814.40 "
5/15/2023," $7,860.30 "
5/15/2023, $100.00 
5/15/2023," $10,425.00 "
5/15/2023," $2,250.00 "
5/16/2023, $300.01 
5/16/2023," $1,750.00 "
5/16/2023," $1,750.00 "
5/16/2023," $1,750.00 "
5/16/2023," $21,245.50 "
5/16/2023," $6,414.60 "
5/17/2023," $7,544.00 "
5/18/2023," $5,864.00 "
5/18/2023," $15,960.00 "
5/18/2023, $-   
5/19/2023," $9,404.00 "
5/19/2023," $6,831.00 "
5/19/2023, $-   
5/20/2023," $8,880.00 "
5/22/2023," $6,744.00 "
5/22/2023," $4,080.00 "
5/23/2023, $-   
5/23/2023," $4,847.00 "
5/23/2023," $5,312.00 "
5/23/2023," $4,720.00 "
5/23/2023," $5,645.00 "
5/23/2023," $6,090.00 "
5/23/2023," $1,321.44 "
5/23/2023, $-   
5/24/2023," $4,920.00 "
5/24/2023," $4,580.00 "
